,turtles,steps,messages,completed,range,comms,collab
0,1,604,0,85.20408163265310,5,Decentralized,TRUE
1,2,706,62,84.94897959183670,5,Decentralized,TRUE
2,2,896,0,94.89795918367350,5,Decentralized,FALSE
3,2,792,26,95.66326530612250,5,central,TRUE
4,2,996,0,97.95918367346940,5,central,FALSE
5,3,704,88,64.79591836734690,5,Decentralized,TRUE
6,3,1398,0,99.48979591836740,5,Decentralized,FALSE
7,3,1036,39,99.48979591836740,5,central,TRUE
8,3,1182,0,100.51020408163300,5,central,FALSE
9,4,876,128,65.3061224489796,5,Decentralized,TRUE
10,4,1200,0,83.41836734693880,5,Decentralized,FALSE
11,4,1456,49,100,5,central,TRUE
12,4,1980,0,100.25510204081600,5,central,FALSE
13,5,688,110,48.724489795918400,5,Decentralized,TRUE
14,5,2234,0,89.28571428571430,5,Decentralized,FALSE
15,5,1986,71,100.51020408163300,5,central,TRUE
16,5,2084,0,100.51020408163300,5,central,FALSE
17,10,2230,404,87.5,5,Decentralized,TRUE
18,10,3318,0,100.51020408163300,5,Decentralized,FALSE
19,10,4850,177,100.51020408163300,5,central,TRUE
20,10,4146,0,100.51020408163300,5,central,FALSE
21,20,2152,420,49.744897959183700,5,Decentralized,TRUE
22,20,7782,0,100.51020408163300,5,Decentralized,FALSE
23,20,8548,301,100.51020408163300,5,central,TRUE
24,20,7710,0,100.51020408163300,5,central,FALSE
25,50,7096,1430,73.46938775510210,5,Decentralized,TRUE
26,50,21256,0,100.51020408163300,5,Decentralized,FALSE
27,50,22688,782,100.51020408163300,5,central,TRUE
28,50,21096,0,100.51020408163300,5,central,FALSE
29,100,13718,2794,69.38775510204080,5,Decentralized,TRUE
30,100,40514,0,100.51020408163300,5,Decentralized,FALSE
31,100,45626,1586,100.51020408163300,5,central,TRUE
32,100,36270,0,100.51020408163300,5,central,FALSE
33,1,226,0,36.98979591836740,10,Decentralized,TRUE
34,1,562,0,79.84693877551020,10,Decentralized,FALSE
35,1,572,46,81.12244897959180,10,central,TRUE
36,1,576,0,81.63265306122450,10,central,FALSE
37,2,296,24,33.16326530612250,10,Decentralized,TRUE
38,2,1178,0,98.9795918367347,10,Decentralized,FALSE
39,2,324,21,38.265306122449000,10,central,TRUE
40,2,698,0,86.73469387755100,10,central,FALSE
41,3,392,52,36.47959183673470,10,Decentralized,TRUE
42,3,1130,0,96.42857142857140,10,Decentralized,FALSE
43,3,1146,90,87.5,10,central,TRUE
44,3,530,0,53.826530612244900,10,central,FALSE
45,4,844,124,68.11224489795920,10,Decentralized,TRUE
46,4,886,0,80.10204081632650,10,Decentralized,FALSE
47,4,1686,126,85.96938775510210,10,central,TRUE
48,4,1608,0,100.51020408163300,10,central,FALSE
49,5,612,96,33.673469387755100,10,Decentralized,TRUE
50,5,1804,0,100.51020408163300,10,Decentralized,FALSE
51,5,1232,83,88.77551020408160,10,central,TRUE
52,5,2732,0,100,10,central,FALSE
53,10,1334,246,55.10204081632650,10,Decentralized,TRUE
54,10,3048,0,100.51020408163300,10,Decentralized,FALSE
55,10,4004,304,100.51020408163300,10,central,TRUE
56,10,4050,0,100.51020408163300,10,central,FALSE
57,20,3454,666,69.89795918367350,10,Decentralized,TRUE
58,20,8146,0,100.51020408163300,10,Decentralized,FALSE
59,20,7646,580,100,10,central,TRUE
60,20,7522,0,100.51020408163300,10,central,FALSE
61,50,6102,1232,71.93877551020410,10,Decentralized,TRUE
62,50,22066,0,100.51020408163300,10,Decentralized,FALSE
63,50,16056,1180,100.51020408163300,10,central,TRUE
64,50,19934,0,100.51020408163300,10,central,FALSE
65,100,11450,2340,70.40816326530610,10,Decentralized,TRUE
66,100,41572,0,100.51020408163300,10,Decentralized,FALSE
67,100,35086,2624,100.51020408163300,10,central,TRUE
68,100,38262,0,100.51020408163300,10,central,FALSE
69,1,138,0,25.76530612244900,20,Decentralized,TRUE
70,1,90,0,19.642857142857100,20,Decentralized,FALSE
71,1,320,31,48.97959183673470,20,central,TRUE
72,1,612,0,86.22448979591840,20,central,FALSE
73,2,674,50,68.11224489795920,20,Decentralized,TRUE
74,2,856,0,90.3061224489796,20,Decentralized,FALSE
75,2,292,28,34.94897959183670,20,central,TRUE
76,2,1270,0,98.46938775510210,20,central,FALSE
77,3,628,80,54.33673469387760,20,Decentralized,TRUE
78,3,1078,0,99.74489795918370,20,Decentralized,FALSE
79,3,716,70,71.42857142857140,20,central,TRUE
80,3,1860,0,97.95918367346940,20,central,FALSE
81,4,832,122,68.36734693877550,20,Decentralized,TRUE
82,4,1372,0,83.92857142857140,20,Decentralized,FALSE
83,4,682,66,40.30612244897960,20,central,TRUE
84,4,1654,0,100.51020408163300,20,central,FALSE
85,5,636,102,40.816326530612200,20,Decentralized,TRUE
86,5,1584,0,100.51020408163300,20,Decentralized,FALSE
87,5,1334,130,90.3061224489796,20,central,TRUE
88,5,2060,0,100.51020408163300,20,central,FALSE
89,10,3234,574,83.41836734693880,20,Decentralized,TRUE
90,10,5236,0,100.51020408163300,20,Decentralized,FALSE
91,10,1146,109,42.60204081632650,20,central,TRUE
92,10,3920,0,100.51020408163300,20,central,FALSE
93,20,2964,576,60.714285714285700,20,Decentralized,TRUE
94,20,8962,0,100.51020408163300,20,Decentralized,FALSE
95,20,3094,296,81.63265306122450,20,central,TRUE
96,20,9420,0,100.51020408163300,20,central,FALSE
97,50,5586,1124,57.90816326530610,20,Decentralized,TRUE
98,50,20772,0,100.51020408163300,20,Decentralized,FALSE
99,50,9144,883,88.26530612244900,20,central,TRUE
100,50,23160,0,100.51020408163300,20,central,FALSE
101,100,11562,2368,61.224489795918400,20,Decentralized,TRUE
102,100,40366,0,100.51020408163300,20,Decentralized,FALSE
103,100,14376,1373,83.92857142857140,20,central,TRUE
104,100,41528,0,100.51020408163300,20,central,FALSE
105,1,256,0,40.816326530612200,40,Decentralized,TRUE
106,1,542,0,77.29591836734690,40,Decentralized,FALSE
107,1,126,12,24.23469387755100,40,central,TRUE
108,1,520,0,74.48979591836740,40,central,FALSE
109,2,316,24,35.45918367346940,40,Decentralized,TRUE
110,2,980,0,96.42857142857140,40,Decentralized,FALSE
111,2,684,67,68.62244897959180,40,central,TRUE
112,2,1232,0,92.85714285714290,40,central,FALSE
113,3,458,60,42.3469387755102,40,Decentralized,TRUE
114,3,1580,0,98.9795918367347,40,Decentralized,FALSE
115,3,572,55,55.357142857142900,40,central,TRUE
116,3,1156,0,100,40,central,FALSE
117,4,752,110,51.785714285714300,40,Decentralized,TRUE
118,4,1564,0,75.51020408163270,40,Decentralized,FALSE
119,4,760,74,54.33673469387760,40,central,TRUE
120,4,1630,0,97.70408163265310,40,central,FALSE
121,5,1042,162,65.05102040816330,40,Decentralized,TRUE
122,5,1454,0,100.51020408163300,40,Decentralized,FALSE
123,5,1120,110,68.87755102040820,40,central,TRUE
124,5,1474,0,83.92857142857140,40,central,FALSE
125,10,1690,306,64.28571428571430,40,Decentralized,TRUE
126,10,3720,0,100.25510204081600,40,Decentralized,FALSE
127,10,1586,152,67.09183673469390,40,central,TRUE
128,10,3304,0,100.51020408163300,40,central,FALSE
129,20,2762,538,59.183673469387800,40,Decentralized,TRUE
130,20,7664,0,100.51020408163300,40,Decentralized,FALSE
131,20,3210,310,72.1938775510204,40,central,TRUE
132,20,8372,0,100.51020408163300,40,central,FALSE
133,50,6858,1380,61.224489795918400,40,Decentralized,TRUE
134,50,17730,0,100.51020408163300,40,Decentralized,FALSE
135,50,7186,687,88.26530612244900,40,central,TRUE
136,50,20772,0,100.51020408163300,40,central,FALSE
137,100,12632,2568,78.57142857142860,40,Decentralized,TRUE
138,100,39620,0,100.51020408163300,40,Decentralized,FALSE
139,100,13220,1263,76.0204081632653,40,central,TRUE
140,100,40866,0,100.51020408163300,40,central,FALSE
