"BehaviorSpace results (NetLogo 6.1.1)"
"MazeExplorer.nlogo"
"experiment"
"12/13/2020 02:56:40:409 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","29","0","29"
"[run number]","1","1","1","1","1","5","5","5","5","5","6","6","6","6","6","7","7","7","7","7","8","8","8","8","8","9","9","9","9","9","10","10","10","10","10","11","11","11","11","11","12","12","12","12","12","13","13","13","13","13","14","14","14","14","14","15","15","15","15","15","16","16","16","16","16","17","17","17","17","17","18","18","18","18","18","19","19","19","19","19","20","20","20","20","20","21","21","21","21","21","22","22","22","22","22","23","23","23","23","23","24","24","24","24","24","25","25","25","25","25","26","26","26","26","26","27","27","27","27","27","28","28","28","28","28","29","29","29","29","29","30","30","30","30","30"
"comm-range","5",,,,,"5",,,,,"5",,,,,"5",,,,,"5",,,,,"5",,,,,"5",,,,,"5",,,,,"5",,,,,"5",,,,,"5",,,,,"5",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,
"num-robots","1",,,,,"4",,,,,"10",,,,,"2",,,,,"5",,,,,"10",,,,,"15",,,,,"20",,,,,"30",,,,,"50",,,,,"80",,,,,"100",,,,,"1",,,,,"2",,,,,"5",,,,,"3",,,,,"4",,,,,"10",,,,,"2",,,,,"5",,,,,"10",,,,,"15",,,,,"20",,,,,"30",,,,,"50",,,,,"80",,,,,"100",,,,
"communication-type","Decentralized",,,,,"Decentralized",,,,,"Decentralized",,,,,"Decentralized",,,,,"Decentralized",,,,,"Decentralized",,,,,"Decentralized",,,,,"Decentralized",,,,,"Decentralized",,,,,"Decentralized",,,,,"Decentralized",,,,,"Decentralized",,,,,"Decentralized",,,,,"Decentralized",,,,,"Decentralized",,,,,"Decentralized",,,,,"Decentralized",,,,,"Decentralized",,,,,"Decentralized",,,,,"Decentralized",,,,,"Decentralized",,,,,"Decentralized",,,,,"Decentralized",,,,,"Decentralized",,,,,"Decentralized",,,,,"Decentralized",,,,,"Decentralized",,,,
"communication-range-battery-drainage-factor","2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,,"2",,,,
"collaboration","true",,,,,"true",,,,,"true",,,,,"true",,,,,"true",,,,,"true",,,,,"true",,,,,"true",,,,,"true",,,,,"true",,,,,"true",,,,,"true",,,,,"true",,,,,"true",,,,,"true",,,,,"true",,,,,"true",,,,,"true",,,,,"true",,,,,"true",,,,,"true",,,,,"true",,,,,"true",,,,,"true",,,,,"true",,,,,"true",,,,,"true",,,,
"[steps]","195","195","195","195","195","591","591","591","591","591","741","741","741","741","741","637","637","637","637","637","659","659","659","659","659","732","732","732","732","732","739","739","739","739","739","741","741","741","741","741","725","725","725","725","725","769","769","769","769","769","761","761","761","761","761","769","769","769","769","769","686","686","686","686","686","635","635","635","635","635","589","589","589","589","589","708","708","708","708","708","651","651","651","651","651","664","664","664","664","664","633","633","633","633","633","664","664","664","664","664","633","633","633","633","633","217","217","217","217","217","545","545","545","545","545","673","673","673","673","673","657","657","657","657","657","563","563","563","563","563","569","569","569","569","569"

"[initial & final values]","ticks","sum [num-steps] of robots / count robots","100 * count patches with [ isvisited = true] / count patches with [pcolor = yellow]","num-message-exchanges / num-robots","sum [battery-drainage] of robots / num-robots","ticks","sum [num-steps] of robots / count robots","100 * count patches with [ isvisited = true] / count patches with [pcolor = yellow]","num-message-exchanges / num-robots","sum [battery-drainage] of robots / num-robots","ticks","sum [num-steps] of robots / count robots","100 * count patches with [ isvisited = true] / count patches with [pcolor = yellow]","num-message-exchanges / num-robots","sum [battery-drainage] of robots / num-robots","ticks","sum [num-steps] of robots / count robots","100 * count patches with [ isvisited = true] / count patches with [pcolor = yellow]","num-message-exchanges / num-robots","sum [battery-drainage] of robots / num-robots","ticks","sum [num-steps] of robots / count robots","100 * count patches with [ isvisited = true] / count patches with [pcolor = yellow]","num-message-exchanges / num-robots","sum [battery-drainage] of robots / num-robots","ticks","sum [num-steps] of robots / count robots","100 * count patches with [ isvisited = true] / count patches with [pcolor = yellow]","num-message-exchanges / num-robots","sum [battery-drainage] of robots / num-robots","ticks","sum [num-steps] of robots / count robots","100 * count patches with [ isvisited = true] / count patches with [pcolor = yellow]","num-message-exchanges / num-robots","sum [battery-drainage] of robots / num-robots","ticks","sum [num-steps] of robots / count robots","100 * count patches with [ isvisited = true] / count patches with [pcolor = yellow]","num-message-exchanges / num-robots","sum [battery-drainage] of robots / num-robots","ticks","sum [num-steps] of robots / count robots","100 * count patches with [ isvisited = true] / count patches with [pcolor = yellow]","num-message-exchanges / num-robots","sum [battery-drainage] of robots / num-robots","ticks","sum [num-steps] of robots / count robots","100 * count patches with [ isvisited = true] / count patches with [pcolor = yellow]","num-message-exchanges / num-robots","sum [battery-drainage] of robots / num-robots","ticks","sum [num-steps] of robots / count robots","100 * count patches with [ isvisited = true] / count patches with [pcolor = yellow]","num-message-exchanges / num-robots","sum [battery-drainage] of robots / num-robots","ticks","sum [num-steps] of robots / count robots","100 * count patches with [ isvisited = true] / count patches with [pcolor = yellow]","num-message-exchanges / num-robots","sum [battery-drainage] of robots / num-robots","ticks","sum [num-steps] of robots / count robots","100 * count patches with [ isvisited = true] / count patches with [pcolor = yellow]","num-message-exchanges / num-robots","sum [battery-drainage] of robots / num-robots","ticks","sum [num-steps] of robots / count robots","100 * count patches with [ isvisited = true] / count patches with [pcolor = yellow]","num-message-exchanges / num-robots","sum [battery-drainage] of robots / num-robots","ticks","sum [num-steps] of robots / count robots","100 * count patches with [ isvisited = true] / count patches with [pcolor = yellow]","num-message-exchanges / num-robots","sum [battery-drainage] of robots / num-robots","ticks","sum [num-steps] of robots / count robots","100 * count patches with [ isvisited = true] / count patches with [pcolor = yellow]","num-message-exchanges / num-robots","sum [battery-drainage] of robots / num-robots","ticks","sum [num-steps] of robots / count robots","100 * count patches with [ isvisited = true] / count patches with [pcolor = yellow]","num-message-exchanges / num-robots","sum [battery-drainage] of robots / num-robots","ticks","sum [num-steps] of robots / count robots","100 * count patches with [ isvisited = true] / count patches with [pcolor = yellow]","num-message-exchanges / num-robots","sum [battery-drainage] of robots / num-robots","ticks","sum [num-steps] of robots / count robots","100 * count patches with [ isvisited = true] / count patches with [pcolor = yellow]","num-message-exchanges / num-robots","sum [battery-drainage] of robots / num-robots","ticks","sum [num-steps] of robots / count robots","100 * count patches with [ isvisited = true] / count patches with [pcolor = yellow]","num-message-exchanges / num-robots","sum [battery-drainage] of robots / num-robots","ticks","sum [num-steps] of robots / count robots","100 * count patches with [ isvisited = true] / count patches with [pcolor = yellow]","num-message-exchanges / num-robots","sum [battery-drainage] of robots / num-robots","ticks","sum [num-steps] of robots / count robots","100 * count patches with [ isvisited = true] / count patches with [pcolor = yellow]","num-message-exchanges / num-robots","sum [battery-drainage] of robots / num-robots","ticks","sum [num-steps] of robots / count robots","100 * count patches with [ isvisited = true] / count patches with [pcolor = yellow]","num-message-exchanges / num-robots","sum [battery-drainage] of robots / num-robots","ticks","sum [num-steps] of robots / count robots","100 * count patches with [ isvisited = true] / count patches with [pcolor = yellow]","num-message-exchanges / num-robots","sum [battery-drainage] of robots / num-robots","ticks","sum [num-steps] of robots / count robots","100 * count patches with [ isvisited = true] / count patches with [pcolor = yellow]","num-message-exchanges / num-robots","sum [battery-drainage] of robots / num-robots","ticks","sum [num-steps] of robots / count robots","100 * count patches with [ isvisited = true] / count patches with [pcolor = yellow]","num-message-exchanges / num-robots","sum [battery-drainage] of robots / num-robots","ticks","sum [num-steps] of robots / count robots","100 * count patches with [ isvisited = true] / count patches with [pcolor = yellow]","num-message-exchanges / num-robots","sum [battery-drainage] of robots / num-robots"
,"195","178","30.867346938775512","0","178","591","374.5","100.25510204081633","47.75","694.5","741","493.2","100.51020408163265","109.9","1236.1","637","550","93.36734693877551","18","670","659","435.2","100.51020408163265","61","847.2","732","412","100.51020408163265","118.6","1206.5","739","364.93333333333334","100.51020408163265","144.73333333333332","1338.3333333333333","741","494.5","100.51020408163265","158.25","1579","725","379.8","100.51020408163265","165.03333333333333","1501.4666666666667","769","412","100.51020408163265","191.66","1725.66","761","426.775","100.51020408163265","204.6625","1839.4125","769","368.1","100.51020408163265","206.81","1785.94","686","624","87.75510204081633","0","624","635","408","100","42","1528","589","374.4","91.07142857142857","113.8","3419.8","708","474.6666666666667","100.51020408163265","98.66666666666667","3114.3333333333335","651","355.5","97.95918367346938","114.75","3421.5","664","187.4","100.51020408163265","157.3","4360.3","633","394","99.48979591836735","46.5","1634","664","513.6","100.51020408163265","128.6","3967.8","633","350","94.64285714285714","150.8","4425.2","217","160.8","57.142857142857146","56.13333333333333","1642.4666666666667","545","209.5","95.91836734693878","140.8","3967.45","673","170.06666666666666","98.9795918367347","178.03333333333333","4911.2","657","127.92","100.51020408163265","176.24","4818.02","563","180.525","96.93877551020408","156.1625","4352.575","569","155.52","99.23469387755102","156.38","4329.97"
